,Symbols,Description
54,ITZAF3D,South Africa 3-month Treasury Bill Yield (with GFD Extension)
55,ITSWE3D,Sweden 3-month Treasury Bill Yield (with GFD Extension)
56,ITCHE3D,Switzerland 3-month Treasury-Bill Yield
57,ITGBR3D,United Kingdom 3-month Treasury Bill Yield (with GFD Extension)
58,IDARGD,Argentina Reserve Bank Discount Rate
59,IGIND10D,India 10-Year Government Bond Yield (with GFD Extension)
60,ITBRA3D,Brazil 3-month Treasury Bill Yield (with GFD Extension)
61,ITDNK3D,Denmark 3-month Treasury Bill Yield
62,ITIND3D,India 3-month Treasury Bill Yield (with GFD Extension)
63,ITJPN3D,Japan 3-month Treasury Bill Yield
64,ITNLD3D,Netherlands 3-month Treasury Bill Yield (with GFD Extension)
65,ITTHA3D,Thailand 3-month Treasury Bill Yield
66,_BSESND,Bombay SE Sensitive (Sensex) Index (with GFD extension)
67,_BFXD,Belgium CBB Bel-20 Index
68,_IGPAD,Santiago SE S&P CLX Indice General de Precios de Acciones (with GFD Extension)
69,_ISEQD,Ireland ISEQ All-Share Price Index (with GFD extension)
70,_KLSED,Malaysia KLSE Composite
71,_ATXD,Austria Trading Index (ATX)
72,_DCIBTD,Botswana SE Domestic Companies Index
73,USDARSBD,Argentina Peso Black Market Rate
74,IGBEL10D,Belgium 10-year Government Bond Yield (With GFD Extension)
75,_TA125D,Tel Aviv SE 125 Broad Index (with GFD Extension)
76,_AEXD,Amsterdam AEX Stock Index
77,_MERVD,Buenos Aires SE Merval Index
78,_PSID,Manila SE Composite Index (with GFD Extension)
79,_SPBLPGPT,Lima S&P/BVL Peru General Index (with GFD extension)
80,_FFYD,USA Federal Funds Rate Market Rate
81,MOCAAAD,Moody`s Corporate AAA Yield (with GFD Extension)
82,MOCBAAD,Moody's Corporate BAA Yield
83,ITUSA3D,USA Government 90-day Secondary Market Treasury Bills (with GFD Extension)
84,_IHXD,Live Hog Prices (US Cents/Pound) (with GFD Extension)
85,__CC1_ID,CBOT Corn Futures Prices (USD per Bushel) (with GFD Extension)
86,__SC1_ID,CBOT Soybean Futures Prices (USD per Bushel) (with GFD Extension)
87,__SBC1_D,CSCE Sugar No. 11 Futures Prices (USD per Bushel) (with GFD Extension)
88,__GCC1_D,COMEX Gold Futures Prices (USD Per Troy Ounce)
89,__CCC1_D,CSCE Cocoa Futures Prices (USD/Metric Ton) (with GFD Extension)
90,__KCC1_D,CSCE Coffee Futures Prices (USD per Pound) (with GFD Extension)
91,CMRUBSD,Rubber Spot Price (USD/Kilogram) (with GFD Extension)
92,CMKCMAND,Colombia Manizal Coffee in NY (US Cents/Pound) (with GFD Extension)
93,_NGSEIND,Nigeria SE All-Share Index
94,__LCC1_D,CME Live Cattle Futures (USD Per Pound)
95,__LHC1_D,CME Live Hog Futures (USD Per Pound)
96,__SMC1_D,CBOT Soybean Meal Futures ($/Short Ton) (with GFD Extension)
97,_NSE20D,Nairobi SE Index (with GFD Extension)
98,_KS11D,Korea SE Stock Price Index (KOSPI)
99,_XU100D,Istanbul SE IMKB-100 Price Index
100,CMPBSD,Lead Bar Spot Price (LME USD/Ton) (with GFD Extension)
101,__OC1_ID,CBOT Oat Futures Price (USD Per Pound) (with GFD Extension)
102,_OMXC20D,OMX Copenhagen-20 Index
103,_CO1599D,Cocoa Spot Price (USD/Metric Ton) (with GFD Extension)
104,__COFSAD,Brazil Santos Arabicas Spot Price (Cents/Pound) (with GFD Extension)
105,_ICXD,Live Cattle Spot Price (US Cents/Pound) (with GFD Extension)
106,OATS_RAD,Oat Spot Price (US$/Bushel) (with GFD Extension)
107,__PL_NYD,Platinum Cash Price (US$/Ounce) (with GFD Extension)
108,__SYM_4D,Soybean Meal Cash Price (USD/Short Ton - Bulk) (with GFD Extension)
109,_SU1599D,Sugar #11 Spot Price (US Cents/Pound) (with GFD Extension)
110,IGFIN10D,Finland 10-year Government Bonds (with GFD Extension)
111,IGNOR5D,Norway 5-year Government Notes (with GFD Extension)
112,IGSWE5D,Sweden 5-year Government Note Yield
113,IGGBR10D,United Kingdom 10-year Government Bond Yield (with GFD Extension)
114,IGAUS5D,Australia 5-year Government Note Yield
115,IGAUS10D,Australia 10-year Government Bond Yield (with GFD Extension)
116,IGMYS10D,Malaysia 10-year Government Bond Yield
117,ITMYS3D,Malaysia 3-month T-bill Discount Rate
118,_ATGD,Athens SE General Index (with GFD extension)
119,_TWIID,Taiwan SE Capitalization Weighted Index
120,_SETID,Thailand SET General Index
121,_CFG25D,Casablanca Financial Group 25 Share Index
122,_SSECD,Shanghai SE Composite
123,IDCHNLD,China 1-year Loans to State and Industrial Enterprises
124,INDEUD,Germany Corporate Bond Yield
125,IGJPN10D,Japan 10-year Government Bond Yield (with GFD Extension)
126,_PSI20D,Oporto PSI-20 Index (with GFD Extension)
127,IGDEU5D,Germany 5-year Government Note Yield
128,_OBXPD,Oslo SE OBX-25 Stock Index (with GFD extension)
129,_COLCAPD,Colombia Colcap Index (with GFD Extension)
130,_JKSED,Jakarta SE Composite Index
131,_NZCID,New Zealand SE S&P/NZX All-Share Capital Index (with GFD Extension)
132,_FCHID,Paris CAC-40 Index
133,IGZAF10D,South Africa 10-Year Bond Yield (with GFD Extension)
134,IGSGP5D,Singapore 5-year Government Bond Yield
135,IGDNK5D,Denmark 5-year Government Note Yield
136,ITSGP3D,Singapore 3-month Treasury Yield
137,IGJPN5D,Japan 5-year Government Bond Yield
138,INKORD,South Korea Corporate Bonds
139,IGUSA5D,USA 5-year Note Constant Maturity Yield
140,IGUSA10D,USA 10-year Bond Constant Maturity Yield (with GFD Extension)
141,IGNLD10D,Netherlands 10-year Government Bond Yield (with GFD Extension)
142,ITESP3D,Spain 3-month T-Bill Yield
143,IGFRA5D,France 5-Year Government Note Yield
144,ITEUR3D,Europe 3-month Euro Treasury Bill Yield
145,IGBEL5D,Belgium 5-year Government Note Yield
146,__WC1_ID,CBOT Wheat Futures Price (USD Per Pound) (with GFD Extension)
147,IGNZL5D,New Zealand 5-year Government Note Yield
148,ITHKG3D,Hong Kong 3-month Treasury Bill Yield
149,IGCAN5D,Canada 5-year Benchmark Note Yield
150,IGCAN10D,Canada 10-year Government Bond Yield (with GFD Extension)
151,IGESP5D,Spain 5-year Government Note Yield
152,IGESP10D,Spain 10-year Government Bond Yield (with GFD Extension)
153,IGPRT10D,Portugal 10-year Government Bond Yield (with GFD Extension)
154,IGFIN5D,Finland 5-year Government Note Yield
155,IDRUSD,Russia Central Bank Refinancing Rate
156,_FTSTID,Singapore FTSE Straits-Times Index (with GFD Extension)
157,IGKEN5D,Kenya 5-year Government Note Yield
158,_STOXXE,EuroStoxx Price Index (With GFD Extension)
159,IDSWERD,Sweden Riksbank Repo Rate
160,IGEUR5D,Eurozone 5-year Government Note Yield
161,IGEUR10D,Eurozone 10-year Government Bond Yield
162,IGCHE5D,Switzerland 5-year Government Note Yield
163,_LUXXD,Luxembourg SE LUXX Index (with GFD extension)
164,IGITA5D,Italy 5-Year Government Note Yield (with GFD Extension)
165,IGCHE10D,Switzerland 10-year Government Bond (with GFD Extension)
166,IGMAR5D,Morocco 5-year Government Bond Yield
167,IGLUX10D,Luxembourg 10-year Government Bond Yield
168,IGNLD5D,Netherlands 5-year Government Note Yield
169,__CLC1_D,NYMEX Crude Oil Futures (USD Per Barrel)
170,__PLC1_D,NYMEX Platinum Futures Contract (USD Per Troy Ounce)
171,IDNORRD,Bank of Norway Sight Deposit Rate
172,ITEGY3D,Egypt 3-month Treasury Bill Yields
173,_AXJOD,Australia S&P/ASX 200 Composite
174,IDZAFRD,South Africa Reserve Bank Repo Rate
175,IGDEU10D,Germany 10-year Benchmark Bond Yield (with GFD extension)
176,ITNGA3D,Nigeria 3-month Treasury Bill Yield
177,IGAUT5D,Austria 5-year Government Note Yield
178,IGGRC10D,Greece 10-year Government Note Yield
179,IGZAF5D,South Africa 5-year Government Note Yield
180,INUSADJD,Dow Jones Corporate Bond Yield
181,USDCAD3D,Canada Dollar 3-month Forward Rate on USD
182,_JALSHD,FTSE/JSE All-Share Index (with GFD extension)
183,USDCHF3D,Switzerland 3-month Forward Rate on USD
184,USDCHF6D,Switzerland 6-month Forward Rate on USD
185,RU_NYHD,Unleaded Regular Gas New York FOB(US Cents/Gallon)
186,USDDKK3D,Denmark Krone per USD 3-month Forward Exchange Rate
187,USDDKK6D,Denmark Krone per USD 6-month Forward Exchange Rate
188,USDJPY3D,Japan Yen 3-month Forward Rate
189,IDSAUD,Saudi Arabia Repo Rate
190,ITSAU3D,Saudi Arabia 3-month T-bill Yield
191,PRO_MCD,USA Midcontinent Propane (US Cents/Gallon)
192,_OMXH25D,OMX Helsinki-25 Index
193,_OMXS30D,OMX Stockholm-30 Index
194,_GDAXIPD,Germany DAX Price Index
195,BRT_D,Brent Crude Oil (USD per Barrel) (with GFD Extension)
196,_ADID,UAE Abu Dhabi ADX General All-Share Index
197,USDCHF1D,Switzerland Franc 1-month Forward Rate
198,USDCAD1D,Canada Dollar 1-month Forward Rate
199,USDCAD6D,Canada Dollar 6-month Forward Rate
200,USDJPY1D,Japan Yen 1-month Forward Rate
201,USDJPY6D,Japan Yen 6-month Forward Rate
202,RU_USGD,Regular Unleaded Gasoline Gulf Coast (Cents/Gallon)
203,RU_LAD,Regular Unleaded Gasoline Los Angeles (Cents/Gal)
204,HO_USGD,Heating Oil No. 2 Gulf Coast FOB (Cents/Gallon)
205,COFUG_ND,Ugandan Robustas Coffee Price in NY (Cents/pound) (with GFD Extension)
206,CMBUTD,"Butter, Average Price (Cents/Pound) (with GFD Extension)"
207,CMLARDD,"Lard, Average Wholesale Price, (Cents/Pound) (with GFD Extension)"
208,_TASID,Saudi Arabia Tadawul SE Index
209,XAUFIXAD,Gold Spot Price-London AM Fixing (US$/ounce) (with GFD Extension)
210,_FTITLMS,FTSE Italia All-Share Index (with GFD Extension)
211,__PAC1_D,COMEX Palladium Futures (USD Per Troy Ounce)
212,__SIC1_D,COMEX Silver Futures
213,CMCOPD,Copper (LME $/Ton)
214,__MZN2MD,Zinc Special High Grade ($/Ton) (with GFD Extension)
215,CMTINSD,Tin Refined Cash (LME $/Ton)
216,_BADID,Baltic Dry Index (with GFD Extension)
217,ICUSABBED,Bank of America Merrill Lynch US High Yield BB Effective Yield
218,CMKTJFGD,Kerosene-Type Jet Fuel: U.S. Gulf Coast (USD per Gallon)
219,CMPRTXD,"Propane: Mont Belvieu, Texas (USD per Gallon)"
220,CMULSLAD,Ultra-Low-Sulfur No. 2 Diesel Fuel: Los Angeles (USD per Gallon)
221,ITTUR3D,Türkiye 3-month Treasury Bond Yield
222,IDBRASDD,Brazil SELIC Interest Rate Per Diem
223,PUUSEPUINDXD,Economic Policy Uncertainty Index for United States  (Daily)
224,PUWLEMUINDXD,Equity Market-related Economic Uncertainty Index
225,__C_US2D,Chicago Yellow Corn No. 2 Spot Price (US$/Bushel) (with GFD Extension)
226,__WTC_D,West Texas Intermediate Oil Price (US$/Barrel) (with GFD Extension)
227,__XAU_D,Gold Bullion Price-New York (US$/Ounce) (with GFD Extension)
228,__XAG_HD,Silver Cash Price (US$/Ounce) (with GFD Extension)
229,__SYB_TD,Soybeans Cash Price (US Dollars/Bushel) (with GFD Extension)
230,__W_USSD,Wheat #2 Cash Price (US Dollars/Bushel) (with GFD Extension)
231,__CU_NYD,High Grade Copper (US Cents/Pound) (with GFD Extension)
232,CMALSD,Aluminum Spot Price (USD/Ton) (with GFD Extension)
233,CMNISD,Nickel Spot Price (US Dollars/Ton) (with GFD Extension)
234,CMZNSD,Zinc Spot Price (LME US$/Ton) (with GFD Extension)
235,__XAU_BD,Gold Spot Price-London PM Fixing (US$/ounce) (with GFD Extension)
236,XPD_D,Palladium (USD per Troy Ounce) (with GFD Extension)
237,AEDARS,Argentina New Peso per United Arab Emirates Dinar
238,AEDCHF,Switzerland Franc per United Arab Emirates Dirham
239,AEDCLP,Chile Peso per United Arab Emirates Dirham
240,AEDCNY,China Renminbi Yuan per United Arab Emirates Dirham
241,AEDDKK,Denmark Krone per United Arab Emirates Dirham
242,AEDEGP,Egypt Pound per United Arab Emirates Dirham
243,AEDEUR,Europe Euro per United Arab Emirates Dirham
244,AEDGBP,United Kingdom Pound per United Arab Emirates Dirham
245,AEDHKD,Hong Kong Dollar per United Arab Emirates Dirham
246,AEDHUF,Hungary Forint per United Arab Emirates Dirham
247,AEDKES,Kenya Shilling per United Arab Emirates Dirham
248,AEDKWD,Kuwait Dinar per United Arab Emirates Dirham
249,AEDMYR,Malaysia Dollar per United Arab Emirates Dirham
250,AEDNOK,Norway Krone per United Arab Emirates Dirham
251,AEDNZD,New Zealand Dollar per United Arab Emirates Dirham
252,AEDSEK,Sweden Krona per United Arab Emirates Dirham
253,AEDSGD,Singapore Dollar per United Arab Emirates Dirham
254,AEDTHB,Thailand Baht per United Arab Emirates Dirham
255,AEDTRY,Turkey New Lira per United Arab Emirates Dirham
256,AEDXAF,Central African States CFA Franc per United Arab Emirates Dirham
257,AEDXCD,East Caribbean States Dollar per United Arab Emirates Dirham
258,AEDXOF,West African States CFA Franc per United Arab Emirates Dirham
259,AEDZAR,South Africa Rand per United Arab Emirates Dirham
260,BRLHUF,Hungary Forint per Brazil Real (with GFD Extension)
261,BRLILS,Israel New Sheqalim per Brazil Real (with GFD Extension)
262,BRLJPY,Japan Yen per Brazil Real (with GFD Extension)
263,BRLKES,Kenya Shilling per Brazil Real (with GFD Extension)
264,BRLMAD,Morocco Dirham per Brazil Real (with GFD Extension)
265,BRLMXN,Mexico Peso per Brazil Real (with GFD Extension)
266,BRLNOK,Norway Krone per Brazil Real (with GFD Extension)
267,BRLPEN,Peru New Sol per Brazil Real (with GFD Extension)
268,BRLPHP,Philippines Peso per Brazil Real (with GFD Extension)
269,BRLPLN,Poland New Zloty per Brazil Real (with GFD Extension)
270,BRLPYG,Paraguay Guarani per Brazil Real (with GFD Extension)
271,BRLRUB,Russian Federation Ruble per Brazil Real (with GFD Extension)
272,BRLSAR,Saudi Arabia Riyal per Brazil Real (with GFD Extension)
273,BRLSEK,Sweden Krona per Brazil Real (with GFD Extension)
274,BRLTHB,Thailand Baht per Brazil Real (with GFD Extension)
275,BRLTRY,Turkey New Lira per Brazil Real (with GFD Extension)
276,BRLUYU,Uruguay Peso Uruguayo per Brazil Real (with GFD Extension)
277,BRLXAF,Central African States CFA Franc per Brazil Real (with GFD Extension)
278,BRLXOF,West African States CFA Franc per Brazil Real (with GFD Extension)
279,BRLZAR,South Africa Rand per Brazil Real (with GFD Extension)
280,COPBOB,Bolivia Boliviano per Colombia Peso (with GFD Extension)
281,COPPEN,Peru New Sol per Colombia Peso (with GFD Extension)
282,COPPYG,Paraguay Guarani per Colombia Peso (with GFD Extension)
283,COPUYU,Uruguay Peso Uruguayo per Colombia Peso (with GFD Extension)
284,DKKAED,United Arab Emirates Dirham per Denmark Krone
285,DKKBGN,Bulgaria New Lev per Denmark Krone (with GFD Extension)
286,DKKCNY,China Renminbi Yuan per Denmark Krone (with GFD Extension)
287,DKKILS,Israel New Sheqalim per Denmark Krone (with GFD Extension)
288,DKKMAD,Morocco Dirham per Denmark Krone (with GFD Extension)
289,DKKPHP,Philippines Peso per Denmark Krone (with GFD Extension)
290,DKKPLN,Poland New Zloty per Denmark Krone (with GFD Extension)
291,HKDAED,United Arab Emirates Dirham per Hong Kong Dollar
292,HKDEGP,Egypt Pound per Hong Kong Dollar (with GFD Extension)
293,HKDHUF,Hungary Forint per Hong Kong Dollar (with GFD Extension)
294,HKDILS,Israel New Sheqalim per Hong Kong Dollar (with GFD Extension)
295,HKDZAR,South Africa Rand per Hong Kong Dollar (with GFD Extension)
296,HUFCLP,Chile Peso per Hungary Forint (with GFD Extension)
297,HUFINR,India Rupee per Hungary Forint (with GFD Extension)
298,HUFKES,Kenya Shilling per Hungary Forint (with GFD Extension)
299,HUFKRW,South Korean Won per Hungary Forint (with GFD Extension)
300,HUFPHP,Philippines Peso per Hungary Forint (with GFD Extension)
301,HUFRUB,Russian Federation Ruble per Hungary Forint (with GFD Extension)
302,HUFTHB,Thailand Baht per Hungary Forint (with GFD Extension)
303,HUFXAF,Central African States CFA Franc per Hungary Forint (with GFD Extension)
304,HUFXOF,West African States CFA Franc per Hungary Forint (with GFD Extension)
305,ILSAED,United Arab Emirates Dirham per Israel New Sheqalim
306,ILSARS,Argentina New Peso per Israel New Sheqalim (with GFD Extension)
307,ILSBRL,Brazil Real per Israel New Sheqalim (with GFD Extension)
308,ILSCHF,Switzerland Franc per Israel New Sheqalim (with GFD Extension)
309,ILSCLP,Chile Peso per Israel New Sheqalim (with GFD Extension)
310,ILSCNY,China Renminbi Yuan per Israel New Sheqalim (with GFD Extension)
311,ILSDKK,Denmark Krone per Israel New Sheqalim (with GFD Extension)
312,ILSEGP,Egypt Pound per Israel New Sheqalim (with GFD Extension)
313,ILSGBP,United Kingdom Pound per Israel New Sheqalim (with GFD Extension)
314,ILSHUF,Hungary Forint per Israel New Sheqalim (with GFD Extension)
315,ILSINR,India Rupee per Israel New Sheqalim (with GFD Extension)
316,ILSKES,Kenya Shilling per Israel New Sheqalim (with GFD Extension)
317,ILSMAD,Morocco Dirham per Israel New Sheqalim (with GFD Extension)
318,ILSMXN,Mexico Peso per Israel New Sheqalim (with GFD Extension)
319,ILSNOK,Norway Krone per Israel New Sheqalim (with GFD Extension)
320,ILSPHP,Philippines Peso per Israel New Sheqalim (with GFD Extension)
321,ILSPLN,Poland New Zloty per Israel New Sheqalim (with GFD Extension)
322,ILSRUB,Russian Federation Ruble per Israel New Sheqalim (with GFD Extension)
323,ILSSAR,Saudi Arabia Riyal per Israel New Sheqalim (with GFD Extension)
324,ILSSEK,Sweden Krona per Israel New Sheqalim (with GFD Extension)
325,ILSSGD,Singapore Dollar per Israel New Sheqalim (with GFD Extension)
326,ILSTHB,Thailand Baht per Israel New Sheqalim (with GFD Extension)
327,ILSTRY,Turkey New Lira per Israel New Sheqalim (with GFD Extension)
328,ILSTWD,Taiwan New Dollar per Israel New Sheqalim (with GFD Extension)
329,ILSXAF,Central African States CFA Franc per Israel New Sheqalim (with GFD Extension)
330,ILSXCD,East Caribbean States Dollar per Israel New Sheqalim (with GFD Extension)
331,ILSZAR,South Africa Rand per Israel New Sheqalim (with GFD Extension)
332,INRHKD,Hong Kong Dollar per India Rupee (with GFD Extension)
333,INRHUF,Hungary Forint per India Rupee (with GFD Extension)
334,INRILS,Israel New Sheqalim per India Rupee (with GFD Extension)
335,INRKES,Kenya Shilling per India Rupee (with GFD Extension)
336,INRTHB,Thailand Baht per India Rupee (with GFD Extension)
337,NOKAED,United Arab Emirates Dirham per Norway Krone
338,NOKARS,Argentina New Peso per Norway Krone (with GFD Extension)
339,NOKBRL,Brazil Real per Norway Krone (with GFD Extension)
340,NOKCLP,Chile Peso per Norway Krone (with GFD Extension)
341,NOKCNY,China Renminbi Yuan per Norway Krone (with GFD Extension)
342,NOKEGP,Egypt Pound per Norway Krone (with GFD Extension)
343,NOKHUF,Hungary Forint per Norway Krone (with GFD Extension)
344,NOKILS,Israel New Sheqalim per Norway Krone (with GFD Extension)
345,NOKINR,India Rupee per Norway Krone (with GFD Extension)
346,NOKJPY,Japan Yen per Norway Krone (with GFD Extension)
347,NOKKES,Kenya Shilling per Norway Krone (with GFD Extension)
348,NOKKRW,South Korean Won per Norway Krone (with GFD Extension)
349,NOKMAD,Morocco Dirham per Norway Krone (with GFD Extension)
350,NOKMXN,Mexico Peso per Norway Krone (with GFD Extension)
351,NOKPHP,Philippines Peso per Norway Krone (with GFD Extension)
352,NOKPLN,Poland New Zloty per Norway Krone (with GFD Extension)
353,NOKTHB,Thailand Baht per Norway Krone (with GFD Extension)
354,NOKTRY,Turkey New Lira per Norway Krone (with GFD Extension)
355,NOKXAF,Central African States CFA Franc per Norway Krone (with GFD Extension)
356,NOKXOF,West African States CFA Franc per Norway Krone (with GFD Extension)
357,NOKZAR,South Africa Rand per Norway Krone (with GFD Extension)
358,NZDHUF,Hungary Forint per New Zealand Dollar (with GFD Extension)
359,NZDILS,Israel New Sheqalim per New Zealand Dollar (with GFD Extension)
360,NZDINR,India Rupee per New Zealand Dollar (with GFD Extension)
361,NZDMAD,Morocco Dirham per New Zealand Dollar (with GFD Extension)
362,NZDPHP,Philippines Peso per New Zealand Dollar (with GFD Extension)
363,NZDPLN,Poland New Zloty per New Zealand Dollar (with GFD Extension)
364,NZDTHB,Thailand Baht per New Zealand Dollar (with GFD Extension)
365,NZDTRY,Turkey New Lira per New Zealand Dollar (with GFD Extension)
366,NZDXCD,East Caribbean States Dollar per New Zealand Dollar (with GFD Extension)
367,PHPCLP,Chile Peso per Philippines Peso (with GFD Extension)
368,PHPDKK,Denmark Krone per Philippines Peso (with GFD Extension)
369,PHPEGP,Egypt Pound per Philippines Peso (with GFD Extension)
370,PHPHKD,Hong Kong Dollar per Philippines Peso (with GFD Extension)
371,PHPHUF,Hungary Forint per Philippines Peso (with GFD Extension)
372,PHPINR,India Rupee per Philippines Peso (with GFD Extension)
373,PHPKES,Kenya Shilling per Philippines Peso (with GFD Extension)
374,PHPMAD,Morocco Dirham per Philippines Peso (with GFD Extension)
375,PHPMXN,Mexico Peso per Philippines Peso (with GFD Extension)
376,PHPMYR,Malaysia Dollar per Philippines Peso (with GFD Extension)
377,PHPNOK,Norway Krone per Philippines Peso (with GFD Extension)
378,PHPRUB,Russian Federation Ruble per Philippines Peso (with GFD Extension)
379,PHPSEK,Sweden Krona per Philippines Peso (with GFD Extension)
380,PHPTHB,Thailand Baht per Philippines Peso (with GFD Extension)
381,PHPTRY,Turkey New Lira per Philippines Peso (with GFD Extension)
382,PHPXAF,Central African States CFA Franc per Philippines Peso (with GFD Extension)
383,PHPXOF,West African States CFA Franc per Philippines Peso (with GFD Extension)
384,PLNAED,United Arab Emirates Dirham per Poland New Zloty
385,PLNARS,Argentina New Peso per Poland New Zloty (with GFD Extension)
386,PLNBRL,Brazil Real per Poland New Zloty (with GFD Extension)
387,PLNCAD,Canada Dollar per Poland New Zloty (with GFD Extension)
388,PLNCHF,Switzerland Franc per Poland New Zloty (with GFD Extension)
389,PLNCLP,Chile Peso per Poland New Zloty (with GFD Extension)
390,PLNCNY,China Renminbi Yuan per Poland New Zloty (with GFD Extension)
391,PLNDKK,Denmark Krone per Poland New Zloty (with GFD Extension)
392,PLNEGP,Egypt Pound per Poland New Zloty (with GFD Extension)
393,PLNHKD,Hong Kong Dollar per Poland New Zloty (with GFD Extension)
394,PLNHUF,Hungary Forint per Poland New Zloty (with GFD Extension)
395,PLNILS,Israel New Sheqalim per Poland New Zloty (with GFD Extension)
396,PLNINR,India Rupee per Poland New Zloty (with GFD Extension)
397,PLNJPY,Japan Yen per Poland New Zloty (with GFD Extension)
398,PLNKES,Kenya Shilling per Poland New Zloty (with GFD Extension)
399,PLNKRW,South Korean Won per Poland New Zloty (with GFD Extension)
400,PLNMAD,Morocco Dirham per Poland New Zloty (with GFD Extension)
401,PLNMXN,Mexico Peso per Poland New Zloty (with GFD Extension)
402,PLNMYR,Malaysia Dollar per Poland New Zloty (with GFD Extension)
403,PLNNOK,Norway Krone per Poland New Zloty (with GFD Extension)
404,PLNNZD,New Zealand Dollar per Poland New Zloty (with GFD Extension)
405,PLNPHP,Philippines Peso per Poland New Zloty (with GFD Extension)
406,PLNRUB,Russian Federation Ruble per Poland New Zloty (with GFD Extension)
407,PLNSAR,Saudi Arabia Riyal per Poland New Zloty (with GFD Extension)
408,PLNSEK,Sweden Krona per Poland New Zloty (with GFD Extension)
409,PLNSGD,Singapore Dollar per Poland New Zloty (with GFD Extension)
410,PLNTHB,Thailand Baht per Poland New Zloty (with GFD Extension)
411,PLNTRY,Turkey New Lira per Poland New Zloty (with GFD Extension)
412,PLNTWD,Taiwan New Dollar per Poland New Zloty (with GFD Extension)
413,PLNXAF,Central African States CFA Franc per Poland New Zloty (with GFD Extension)
414,PLNXCD,East Caribbean States Dollar per Poland New Zloty (with GFD Extension)
415,PLNXOF,West African States CFA Franc per Poland New Zloty (with GFD Extension)
416,PLNZAR,South Africa Rand per Poland New Zloty (with GFD Extension)
417,PYGARS,Argentina New Peso per Paraguay Guarani (with GFD Extension)
418,PYGBOB,Bolivia Boliviano per Paraguay Guarani (with GFD Extension)
419,PYGBRL,Brazil Real per Paraguay Guarani (with GFD Extension)
420,PYGCLP,Chile Peso per Paraguay Guarani (with GFD Extension)
421,PYGCOP,Colombia Peso per Paraguay Guarani (with GFD Extension)
422,PYGMXN,Mexico Peso per Paraguay Guarani (with GFD Extension)
